Chr	NeBurnIn	nBottleneck	nGenBottleneck	nGenBreed	nBreed	SNPchipRefPop	Chr_specific_recomb_rate	Mutations	Sim_F_ROH	F_ROH_CI	Sim_ROH_hotspot_thr	ROH_hotspot_thr_CI	H_e_No_MAF	H_e_No_MAF_ci	H_e_5th_perc_No_MAF	H_e_MAF_0_05	H_e_MAF_0_05_ci	H_e_5th_perc_MAF_0_05	Sim_Cost_Result
chr1	6240	10	1	55	210	last_breed_formation_generation	True	TRUE	0.195	(0.188, 0.201)	0.367	(0.344, 0.39)	0.22556	(0.22319, 0.22793)	0.09237	0.3395	(0.33775, 0.34126)	0.2159	1.88071
chr1	6525	8	1	58	220	last_breed_formation_generation	False	TRUE	0.198	(0.191, 0.205)	0.405	(0.365, 0.445)	0.23484	(0.23192, 0.23776)	0.10199	0.34326	(0.34145, 0.34507)	0.22266	1.59259
chr1	5865	5	2	56	200	last_breed_formation_generation	True	TRUE	0.339	(0.315, 0.363)	0.628	(0.575, 0.681)	0.22782	(0.21939, 0.23626)	0.06481	0.35858	(0.35285, 0.36431)	0.20878	2.56649
chr20	6600	11	1	60	185	last_breed_formation_generation	True	TRUE	0.208	(0.198, 0.217)	0.394	(0.362, 0.427)	0.21239	(0.20975, 0.21503)	0.08532	0.34321	(0.34049, 0.34593)	0.22096	1.96366
chr1	6095	7	1	46	230	last_breed_formation_generation	True	TRUE	0.218	(0.208, 0.229)	0.402	(0.371, 0.433)	0.24302	(0.23958, 0.24645)	0.10311	0.3456	(0.34369, 0.34751)	0.2205	1.176
chr1	5945	9	1	55	195	last_breed_formation_generation	True	TRUE	0.219	(0.209, 0.228)	0.441	(0.397, 0.484)	0.22497	(0.22235, 0.2276)	0.08636	0.3437	(0.34096, 0.34644)	0.21319	1.41547
chr1	5590	6	1	58	210	last_breed_formation_generation	True	TRUE	0.261	(0.251, 0.271)	0.51	(0.473, 0.547)	0.24138	(0.23783, 0.24492)	0.09073	0.35281	(0.35005, 0.35558)	0.2168	0.9331
chr1	5560	5	2	61	215	last_breed_formation_generation	True	TRUE	0.333	(0.31, 0.356)	0.653	(0.589, 0.718)	0.23082	(0.22389, 0.23776)	0.06435	0.3613	(0.3554, 0.3672)	0.2102	2.51485
chr1	3855	6	1	59	235	last_breed_formation_generation	True	TRUE	0.25	(0.239, 0.262)	0.465	(0.423, 0.506)	0.24565	(0.24213, 0.24917)	0.09167	0.35158	(0.34824, 0.35492)	0.21698	0.96977
chr1	5090	5	1	58	245	last_breed_formation_generation	True	TRUE	0.265	(0.251, 0.279)	0.496	(0.462, 0.529)	0.25437	(0.24937, 0.25937)	0.09797	0.3559	(0.35387, 0.35793)	0.21997	1.22077
chr1	5345	7	9	58	210	last_breed_formation_generation	True	TRUE	0.555	(0.518, 0.591)	0.952	(0.903, 1.001)	0.13722	(0.12628, 0.14816)	0.00159	0.36426	(0.35166, 0.37686)	0.16851	8.53652
chr38	3890	9	1	73	185	last_breed_formation_generation	True	TRUE	0.164	(0.15, 0.177)	0.29	(0.263, 0.317)	0.21423	(0.20954, 0.21891)	0.08945	0.35172	(0.34873, 0.35471)	0.23253	3.023
chr1	5350	6	1	50	225	last_breed_formation_generation	True	TRUE	0.243	(0.226, 0.26)	0.447	(0.393, 0.50)	0.24892	(0.2429, 0.25494)	0.10383	0.34776	(0.34451, 0.35102)	0.21919	1.20411
chr1	3040	5	1	52	200	last_breed_formation_generation	True	TRUE	0.288	(0.273, 0.303)	0.552	(0.506, 0.598)	0.24903	(0.24285, 0.2552)	0.08115	0.35527	(0.35134, 0.3592)	0.20668	1.26421
chr21	3425	8	2	54	175	last_breed_formation_generation	True	TRUE	0.251	(0.233, 0.269)	0.483	(0.429, 0.537)	0.21878	(0.21336, 0.22421)	0.07106	0.3514	(0.34802, 0.35479)	0.21077	1.59883
chr1	3730	11	1	59	215	last_breed_formation_generation	True	TRUE	0.207	(0.199, 0.214)	0.432	(0.393, 0.47)	0.21637	(0.21376, 0.21898)	0.07703	0.34141	(0.33918, 0.34365)	0.20779	1.74478
chr3	3205	7	2	56	190	last_breed_formation_generation	True	TRUE	0.286	(0.267, 0.306)	0.587	(0.521, 0.654)	0.22296	(0.21721, 0.2287)	0.06089	0.35299	(0.34793, 0.35805)	0.20215	1.8243
chr1	5490	16	1	48	205	last_breed_formation_generation	True	TRUE	0.169	(0.162, 0.176)	0.337	(0.309, 0.365)	0.20594	(0.2044, 0.20749)	0.07868	0.33286	(0.33124, 0.33447)	0.20531	2.79329
chr1	4980	9	1	57	230	last_breed_formation_generation	True	TRUE	0.211	(0.202, 0.221)	0.403	(0.369, 0.438)	0.22846	(0.22561, 0.23132)	0.08919	0.34166	(0.33932, 0.344)	0.21224	1.57194
chr1	2670	90	1	53	250	last_breed_formation_generation	True	TRUE	0.137	(0.133, 0.142)	0.273	(0.24, 0.305)	0.15271	(0.15157, 0.15384)	0.03892	0.32021	(0.31837, 0.32206)	0.17331	4.60688
chr1	5425	6	1	50	185	last_breed_formation_generation	True	TRUE	0.255	(0.238, 0.272)	0.496	(0.436, 0.556)	0.24455	(0.23929, 0.24981)	0.09483	0.35462	(0.35188, 0.35735)	0.2202	1.05238
chr2	5250	5	2	55	220	last_breed_formation_generation	True	TRUE	0.33	(0.306, 0.354)	0.627	(0.561, 0.693)	0.22628	(0.21712, 0.23545)	0.06284	0.36174	(0.35674, 0.36673)	0.21026	2.55012
chr1	6650	9	1	60	200	last_breed_formation_generation	False	TRUE	0.215	(0.209, 0.221)	0.441	(0.413, 0.469)	0.22072	(0.21821, 0.22323)	0.08704	0.34586	(0.34431, 0.34741)	0.21879	1.42608
chr1	6370	12	1	58	210	last_breed_formation_generation	True	TRUE	0.192	(0.186, 0.199)	0.387	(0.357, 0.418)	0.2137	(0.21125, 0.21615)	0.08191	0.33824	(0.33664, 0.33985)	0.21238	2.13133
chr1	5610	57	1	52	175	last_breed_formation_generation	True	TRUE	0.165	(0.158, 0.172)	0.313	(0.293, 0.333)	0.15774	(0.15626, 0.15922)	0.04623	0.33027	(0.32881, 0.33172)	0.19109	3.89764
chr1	4225	7	1	54	195	last_breed_formation_generation	True	TRUE	0.243	(0.23, 0.257)	0.488	(0.446, 0.531)	0.23594	(0.23177, 0.24011)	0.08769	0.34579	(0.34383, 0.34775)	0.21099	1.00531
chr1	5120	10	1	51	225	last_breed_formation_generation	True	TRUE	0.189	(0.181, 0.198)	0.34	(0.313, 0.367)	0.22632	(0.22407, 0.22857)	0.09179	0.33963	(0.33779, 0.34147)	0.21453	2.10535
chr1	3610	5	2	45	240	last_breed_formation_generation	True	TRUE	0.317	(0.30, 0.335)	0.561	(0.526, 0.597)	0.24148	(0.23491, 0.24806)	0.07017	0.36511	(0.36082, 0.36939)	0.21796	1.63826
chr28	5665	8	13	56	205	last_breed_formation_generation	True	TRUE	0.591	(0.537, 0.644)	0.949	(0.896, 1.003)	0.11255	(0.09795, 0.12715)	0.00349	0.36077	(0.3478, 0.37373)	0.16559	9.8191
chr1	6530	7	1	49	185	last_breed_formation_generation	True	TRUE	0.244	(0.23, 0.258)	0.475	(0.425, 0.524)	0.23521	(0.2305, 0.23992)	0.09303	0.34718	(0.34442, 0.34994)	0.21879	1.12987
chr1	5470	10	1	63	215	last_breed_formation_generation	True	TRUE	0.218	(0.209, 0.228)	0.412	(0.385, 0.439)	0.21692	(0.21399, 0.21986)	0.08022	0.34431	(0.34198, 0.34664)	0.21219	1.63837
chr1	5330	5	2	57	170	last_breed_formation_generation	True	TRUE	0.354	(0.332, 0.375)	0.701	(0.635, 0.768)	0.22369	(0.21667, 0.23071)	0.05432	0.36054	(0.35647, 0.36461)	0.20663	3.07095
chr20	4880	8	1	53	200	last_breed_formation_generation	True	TRUE	0.208	(0.198, 0.219)	0.372	(0.333, 0.411)	0.23267	(0.22989, 0.23545)	0.1005	0.34383	(0.34097, 0.3467)	0.22063	1.68389
chr1	520	67	1	59	190	last_breed_formation_generation	True	TRUE	0.24	(0.235, 0.245)	0.509	(0.481, 0.536)	0.14974	(0.14712, 0.15236)	0.02395	0.32873	(0.32562, 0.33183)	0.16972	2.53363
chr1	6295	13	1	47	235	last_breed_formation_generation	True	TRUE	0.163	(0.157, 0.169)	0.316	(0.277, 0.354)	0.21729	(0.21581, 0.21878)	0.08895	0.3321	(0.33027, 0.33393)	0.21043	2.77746
chr1	2050	7	2	55	215	last_breed_formation_generation	True	TRUE	0.288	(0.276, 0.299)	0.617	(0.556, 0.677)	0.22428	(0.22032, 0.22824)	0.05897	0.35426	(0.35123, 0.35729)	0.20069	1.76624
chr1	6700	11	1	61	195	last_breed_formation_generation	True	TRUE	0.218	(0.207, 0.228)	0.456	(0.408, 0.505)	0.21133	(0.20787, 0.2148)	0.07809	0.34332	(0.34094, 0.34569)	0.21251	1.70648
chr1	5710	5	1	51	210	last_breed_formation_generation	True	TRUE	0.269	(0.258, 0.281)	0.499	(0.457, 0.541)	0.25603	(0.25093, 0.26114)	0.10155	0.3544	(0.35067, 0.35813)	0.22	1.30508
chr1	5560	9	1	54	275	last_breed_formation_generation	True	TRUE	0.185	(0.178, 0.191)	0.34	(0.323, 0.358)	0.23462	(0.23278, 0.23646)	0.10142	0.33934	(0.33771, 0.34098)	0.21687	1.89151
chr1	6480	7	1	58	180	last_breed_formation_generation	True	TRUE	0.254	(0.244, 0.264)	0.503	(0.468, 0.537)	0.23005	(0.22685, 0.23324)	0.08517	0.35031	(0.34833, 0.35228)	0.2164	1.09595
chr38	5760	9	1	56	225	last_breed_formation_generation	False	TRUE	0.186	(0.177, 0.195)	0.314	(0.286, 0.342)	0.22968	(0.22502, 0.23434)	0.1073	0.3441	(0.34026, 0.34794)	0.23089	2.24381
chr1	5190	5	2	76	160	last_breed_formation_generation	True	TRUE	0.401	(0.377, 0.426)	0.806	(0.753, 0.859)	0.20205	(0.19358, 0.21052)	0.03013	0.36108	(0.35509, 0.36708)	0.18922	4.49993
chr1	6180	7	1	49	255	last_breed_formation_generation	True	TRUE	0.206	(0.198, 0.214)	0.345	(0.324, 0.366)	0.24672	(0.24373, 0.24972)	0.10996	0.34554	(0.343, 0.34808)	0.22351	1.47926
chr1	1135	11	1	71	205	last_breed_formation_generation	True	TRUE	0.245	(0.237, 0.252)	0.499	(0.463, 0.534)	0.21009	(0.20755, 0.21263)	0.05481	0.34545	(0.34306, 0.34783)	0.19587	1.38733
chr3	5375	7	1	52	195	last_breed_formation_generation	True	TRUE	0.231	(0.221, 0.24)	0.433	(0.40, 0.466)	0.23865	(0.23502, 0.24228)	0.09444	0.34862	(0.34662, 0.35062)	0.21819	0.9602
chr3	5340	14	2	60	235	last_breed_formation_generation	True	TRUE	0.205	(0.196, 0.215)	0.374	(0.347, 0.401)	0.2009	(0.1983, 0.20349)	0.06797	0.34127	(0.33915, 0.3434)	0.20535	2.29698
chr3	2330	9	14	65	220	last_breed_formation_generation	True	TRUE	0.61	(0.575, 0.646)	0.99	(0.975, 1.006)	0.11181	(0.10147, 0.12215)	0	0.36303	(0.34969, 0.37637)	0.14907	9.86942
chr3	5190	5	1	121	180	last_breed_formation_generation	True	TRUE	0.354	(0.344, 0.365)	0.803	(0.758, 0.849)	0.21185	(0.20783, 0.21587)	0.03778	0.36208	(0.35873, 0.36543)	0.18652	3.45186
chr3	5395	7	1	53	195	last_breed_formation_generation	True	TRUE	0.233	(0.223, 0.244)	0.435	(0.40, 0.469)	0.23718	(0.23326, 0.24109)	0.09062	0.34735	(0.34381, 0.35089)	0.21547	0.9898
chr3	5030	9	1	95	210	last_breed_formation_generation	True	TRUE	0.264	(0.257, 0.271)	0.542	(0.502, 0.582)	0.20566	(0.20265, 0.20868)	0.05695	0.35226	(0.34993, 0.35458)	0.20233	1.55369
chr3	5525	7	4	57	170	last_breed_formation_generation	True	TRUE	0.395	(0.369, 0.422)	0.793	(0.724, 0.862)	0.18464	(0.17643, 0.19286)	0.02512	0.3616	(0.35443, 0.36877)	0.18543	4.80968
chr3	5420	12	1	51	200	last_breed_formation_generation	True	TRUE	0.193	(0.184, 0.202)	0.382	(0.338, 0.427)	0.21527	(0.21279, 0.21776)	0.08137	0.3381	(0.33594, 0.34025)	0.21005	2.22053
chr3	5605	20	1	55	185	last_breed_formation_generation	True	TRUE	0.178	(0.169, 0.188)	0.35	(0.324, 0.376)	0.1922	(0.1898, 0.1946)	0.06666	0.33375	(0.33128, 0.33623)	0.20021	2.95459
chr21	5330	5	2	53	220	last_breed_formation_generation	True	TRUE	0.289	(0.264, 0.313)	0.522	(0.463, 0.58)	0.24074	(0.2314, 0.25007)	0.09288	0.36093	(0.35483, 0.36703)	0.22845	1.62055
chr3	5200	10	1	59	230	last_breed_formation_generation	True	TRUE	0.198	(0.188, 0.208)	0.373	(0.339, 0.407)	0.22345	(0.21988, 0.22702)	0.08748	0.34001	(0.33825, 0.34177)	0.20931	1.99795
chr2	5795	8	1	50	205	last_breed_formation_generation	True	TRUE	0.208	(0.199, 0.217)	0.399	(0.362, 0.435)	0.23389	(0.2311, 0.23669)	0.09703	0.3439	(0.34191, 0.34589)	0.21947	1.51039
chr28	5600	6	2	62	185	last_breed_formation_generation	True	TRUE	0.267	(0.249, 0.285)	0.527	(0.473, 0.581)	0.22395	(0.21766, 0.23024)	0.08255	0.35889	(0.35452, 0.36326)	0.22332	1.52727
chr1	5530	8	1	110	195	last_breed_formation_generation	True	TRUE	0.31	(0.298, 0.321)	0.661	(0.618, 0.704)	0.1981	(0.19464, 0.20155)	0.04744	0.35581	(0.35278, 0.35885)	0.19997	2.66683
chr1	5920	5	10	47	215	last_breed_formation_generation	True	TRUE	0.668	(0.62, 0.716)	0.983	(0.96, 1.006)	0.11676	(0.09999, 0.13354)	0	0.35818	(0.3377, 0.37866)	0.15698	10.80894
chr3	3985	11	1	56	170	last_breed_formation_generation	False	TRUE	0.205	(0.198, 0.212)	0.397	(0.361, 0.433)	0.21199	(0.20948, 0.21451)	0.07367	0.34339	(0.34072, 0.34606)	0.21031	1.97795
chr1	6315	7	8	54	245	last_breed_formation_generation	True	TRUE	0.502	(0.464, 0.54)	0.871	(0.806, 0.935)	0.15375	(0.14189, 0.1656)	0.00458	0.37285	(0.36142, 0.38428)	0.18424	7.30589
chr1	5695	9	1	52	205	last_breed_formation_generation	True	TRUE	0.21	(0.196, 0.223)	0.396	(0.359, 0.433)	0.22824	(0.22447, 0.23201)	0.09267	0.34217	(0.33952, 0.34483)	0.21473	1.70761
chr20	5095	5	1	58	225	last_breed_formation_generation	True	TRUE	0.24	(0.226, 0.255)	0.442	(0.408, 0.476)	0.25831	(0.25276, 0.26385)	0.11609	0.35486	(0.35142, 0.3583)	0.23345	1.22809
chr1	5410	7	3	55	190	last_breed_formation_generation	True	TRUE	0.349	(0.32, 0.377)	0.679	(0.62, 0.739)	0.20062	(0.19191, 0.20934)	0.04888	0.34986	(0.34195, 0.35777)	0.19239	3.51885
chr1	6070	10	2	57	210	last_breed_formation_generation	True	TRUE	0.248	(0.238, 0.258)	0.481	(0.447, 0.516)	0.21023	(0.20752, 0.21295)	0.07084	0.34708	(0.34476, 0.34939)	0.21006	1.51767
chr1	5710	13	1	48	240	last_breed_formation_generation	True	TRUE	0.164	(0.158, 0.169)	0.3	(0.269, 0.33)	0.21892	(0.21742, 0.22041)	0.09034	0.3334	(0.33147, 0.33533)	0.21094	2.73547
chr1	1315	7	1	60	180	last_breed_formation_generation	True	TRUE	0.28	(0.265, 0.295)	0.548	(0.514, 0.582)	0.22844	(0.22241, 0.23448)	0.06314	0.34864	(0.34613, 0.35116)	0.1934	1.39961
chr38	6425	9	1	51	200	last_breed_formation_generation	True	TRUE	0.144	(0.134, 0.153)	0.258	(0.233, 0.282)	0.22623	(0.22252, 0.22993)	0.11465	0.34036	(0.33747, 0.34326)	0.23856	3.10993
chr1	5885	5	2	54	160	last_breed_formation_generation	True	TRUE	0.355	(0.339, 0.372)	0.702	(0.656, 0.749)	0.22417	(0.21841, 0.22994)	0.05754	0.36018	(0.35464, 0.36572)	0.20046	2.95236
chr1	5520	7	1	49	220	last_breed_formation_generation	True	TRUE	0.223	(0.213, 0.233)	0.428	(0.395, 0.462)	0.24285	(0.2398, 0.2459)	0.1003	0.34533	(0.34316, 0.34749)	0.21759	1.0072
chr1	5185	11	1	52	190	last_breed_formation_generation	True	TRUE	0.208	(0.198, 0.217)	0.402	(0.374, 0.429)	0.21724	(0.21438, 0.2201)	0.08077	0.33874	(0.33677, 0.34071)	0.20725	1.82162
chr21	1690	8	1	58	230	last_breed_formation_generation	True	TRUE	0.208	(0.195, 0.22)	0.414	(0.37, 0.459)	0.23121	(0.22683, 0.23559)	0.08101	0.34021	(0.33696, 0.34346)	0.20193	1.64264
chr1	6225	5	1	56	205	last_breed_formation_generation	True	TRUE	0.279	(0.258, 0.299)	0.559	(0.477, 0.64)	0.24864	(0.24124, 0.25604)	0.09417	0.35453	(0.35096, 0.35809)	0.21823	1.36597
chr1	5835	9	2	62	265	last_breed_formation_generation	True	TRUE	0.242	(0.228, 0.257)	0.484	(0.436, 0.531)	0.21617	(0.21185, 0.22049)	0.07431	0.34917	(0.34612, 0.35222)	0.21275	1.45131
chr1	5315	7	1	54	215	last_breed_formation_generation	True	TRUE	0.229	(0.216, 0.241)	0.446	(0.402, 0.49)	0.24061	(0.23654, 0.24469)	0.09734	0.34636	(0.34409, 0.34863)	0.2185	1.00002
chr2	6055	11	1	45	195	last_breed_formation_generation	True	TRUE	0.18	(0.171, 0.188)	0.348	(0.319, 0.377)	0.22102	(0.21896, 0.22309)	0.08947	0.33807	(0.33604, 0.3401)	0.21385	2.31727
chr1	4875	5	1	60	185	last_breed_formation_generation	True	TRUE	0.281	(0.269, 0.293)	0.579	(0.525, 0.634)	0.24852	(0.24457, 0.25247)	0.08781	0.35833	(0.35505, 0.36161)	0.22092	1.20234
chr1	5640	9	2	89	210	last_breed_formation_generation	True	TRUE	0.3	(0.289, 0.311)	0.662	(0.609, 0.714)	0.19574	(0.1924, 0.19908)	0.04746	0.35338	(0.35112, 0.35563)	0.19835	2.61668
chr1	5450	7	1	78	170	last_breed_formation_generation	True	TRUE	0.298	(0.28, 0.316)	0.619	(0.558, 0.679)	0.21361	(0.20812, 0.2191)	0.06106	0.35619	(0.35322, 0.35917)	0.20564	2.22112
chr3	5255	6	1	56	550	last_breed_formation_generation	False	TRUE	0.166	(0.159, 0.174)	0.29	(0.268, 0.313)	0.267	(0.26464, 0.26937)	0.13244	0.34229	(0.33985, 0.34473)	0.22923	2.6524
chr1	6145	12	1	50	230	last_breed_formation_generation	True	TRUE	0.17	(0.162, 0.178)	0.347	(0.315, 0.378)	0.22135	(0.219, 0.22369)	0.09161	0.33348	(0.33126, 0.33571)	0.21207	2.47714
chr1	5010	15	2	52	250	last_breed_formation_generation	True	TRUE	0.191	(0.183, 0.198)	0.391	(0.34, 0.442)	0.20381	(0.20188, 0.20574)	0.0735	0.33663	(0.33435, 0.33892)	0.20653	2.44803
chr1	5735	9	1	58	360	last_breed_formation_generation	True	TRUE	0.172	(0.162, 0.182)	0.324	(0.288, 0.361)	0.23778	(0.23496, 0.2406)	0.10519	0.33603	(0.33386, 0.3382)	0.21545	2.27448
chr1	6325	5	1	53	220	last_breed_formation_generation	True	TRUE	0.269	(0.254, 0.283)	0.51	(0.462, 0.559)	0.25435	(0.24896, 0.25974)	0.10267	0.35556	(0.35239, 0.35872)	0.22325	1.28957
chr28	5970	8	1	55	195	last_breed_formation_generation	True	TRUE	0.202	(0.189, 0.216)	0.399	(0.338, 0.461)	0.23049	(0.22573, 0.23526)	0.09888	0.3482	(0.34513, 0.35128)	0.22917	1.8877
chr1	5465	7	1	58	180	last_breed_formation_generation	True	TRUE	0.246	(0.238, 0.253)	0.498	(0.446, 0.549)	0.23406	(0.23121, 0.23691)	0.08646	0.34913	(0.34644, 0.35182)	0.2144	0.96886
chr1	5430	10	1	64	160	last_breed_formation_generation	True	TRUE	0.263	(0.248, 0.279)	0.554	(0.501, 0.607)	0.20549	(0.20109, 0.20989)	0.06392	0.34608	(0.34321, 0.34896)	0.20338	1.69483
chr1	5350	7	2	59	175	last_breed_formation_generation	True	TRUE	0.302	(0.289, 0.316)	0.643	(0.578, 0.707)	0.21509	(0.20978, 0.22041)	0.06041	0.35743	(0.35376, 0.36109)	0.21013	2.28749
chr1	5540	5	1	61	170	last_breed_formation_generation	True	TRUE	0.31	(0.293, 0.328)	0.601	(0.552, 0.65)	0.24048	(0.23371, 0.24725)	0.0797	0.35651	(0.3534, 0.35963)	0.21154	1.73063
chr1	5255	8	1	49	155	last_breed_formation_generation	True	TRUE	0.24	(0.231, 0.249)	0.465	(0.427, 0.503)	0.22622	(0.22356, 0.22887)	0.08184	0.34517	(0.34194, 0.34839)	0.21366	1.15924
chr20	5090	10	1	51	180	last_breed_formation_generation	True	TRUE	0.2	(0.191, 0.209)	0.364	(0.336, 0.392)	0.22304	(0.21954, 0.22654)	0.0958	0.34226	(0.34033, 0.34419)	0.22137	1.9608
chr1	5460	6	1	57	200	last_breed_formation_generation	True	TRUE	0.256	(0.247, 0.265)	0.472	(0.442, 0.501)	0.24225	(0.23946, 0.24504)	0.09167	0.34919	(0.34656, 0.35182)	0.21373	0.95259
chr1	5345	13	1	59	200	last_breed_formation_generation	True	TRUE	0.197	(0.191, 0.204)	0.388	(0.356, 0.419)	0.20938	(0.20726, 0.2115)	0.07679	0.33876	(0.33728, 0.34025)	0.20796	2.1453
chr1	5185	7	2	61	180	last_breed_formation_generation	True	TRUE	0.308	(0.291, 0.326)	0.609	(0.556, 0.661)	0.21266	(0.20719, 0.21812)	0.06018	0.35627	(0.35261, 0.35993)	0.20371	2.30151
chr1	5490	5	1	57	190	last_breed_formation_generation	True	TRUE	0.281	(0.263, 0.30)	0.553	(0.504, 0.601)	0.24955	(0.24277, 0.25634)	0.09138	0.35485	(0.35226, 0.35744)	0.2156	1.24026
chr3	5280	9	1	63	210	last_breed_formation_generation	True	TRUE	0.224	(0.214, 0.234)	0.439	(0.403, 0.474)	0.2238	(0.22088, 0.22671)	0.08196	0.34371	(0.34068, 0.34673)	0.20779	1.35805
chr1	5480	7	2	58	240	last_breed_formation_generation	True	TRUE	0.281	(0.263, 0.298)	0.58	(0.508, 0.652)	0.22241	(0.21649, 0.22834)	0.07223	0.35199	(0.34807, 0.35592)	0.20908	1.75388
chr38	6520	11	1	56	150	last_breed_formation_generation	True	TRUE	0.174	(0.163, 0.185)	0.363	(0.31, 0.416)	0.2087	(0.20488, 0.21252)	0.09358	0.34519	(0.34221, 0.34816)	0.23102	2.79293
chr1	5395	6	1	60	170	last_breed_formation_generation	False	TRUE	0.248	(0.237, 0.26)	0.511	(0.461, 0.561)	0.23804	(0.23415, 0.24194)	0.09126	0.35318	(0.35135, 0.355)	0.22037	0.90983
chr1	5335	9	1	61	160	last_breed_formation_generation	False	TRUE	0.237	(0.228, 0.245)	0.507	(0.463, 0.55)	0.21476	(0.21212, 0.2174)	0.07472	0.34997	(0.34776, 0.35218)	0.21319	1.19275
chr1	5140	5	1	63	165	last_breed_formation_generation	False	TRUE	0.287	(0.28, 0.294)	0.629	(0.581, 0.678)	0.23902	(0.23609, 0.24195)	0.07966	0.35885	(0.35559, 0.36211)	0.21292	1.38785
chr1	5495	8	2	57	170	last_breed_formation_generation	False	TRUE	0.274	(0.26, 0.288)	0.596	(0.543, 0.65)	0.21143	(0.20739, 0.21547)	0.06728	0.35413	(0.35236, 0.35589)	0.21116	1.79383
chr1	5405	11	1	59	180	last_breed_formation_generation	False	TRUE	0.211	(0.203, 0.218)	0.427	(0.397, 0.457)	0.21068	(0.20885, 0.21252)	0.07633	0.34213	(0.34086, 0.34339)	0.21131	1.76622
chr1	5590	7	1	55	175	last_breed_formation_generation	False	TRUE	0.231	(0.225, 0.238)	0.465	(0.422, 0.507)	0.23401	(0.23112, 0.23689)	0.0935	0.34949	(0.34767, 0.35132)	0.22205	0.91357
chr1	5585	5	1	56	150	last_breed_formation_generation	False	TRUE	0.3	(0.283, 0.318)	0.641	(0.586, 0.696)	0.23697	(0.23105, 0.2429)	0.07888	0.35934	(0.35604, 0.36264)	0.21183	1.82489
chr21	5570	9	3	60	160	last_breed_formation_generation	False	TRUE	0.322	(0.292, 0.351)	0.604	(0.547, 0.662)	0.18749	(0.18011, 0.19488)	0.04727	0.34958	(0.34165, 0.35751)	0.19803	3.19446
chr2	5665	7	2	55	165	last_breed_formation_generation	False	TRUE	0.277	(0.264, 0.291)	0.546	(0.503, 0.59)	0.21635	(0.2123, 0.2204)	0.06963	0.35675	(0.35336, 0.36014)	0.21442	1.58563
chr1	5645	12	1	58	175	last_breed_formation_generation	False	TRUE	0.207	(0.20, 0.214)	0.419	(0.383, 0.456)	0.2075	(0.20558, 0.20942)	0.07541	0.34409	(0.34233, 0.34584)	0.21397	1.93874
chr1	5470	7	1	57	175	last_breed_formation_generation	True	TRUE	0.248	(0.239, 0.257)	0.499	(0.456, 0.541)	0.23198	(0.22885, 0.23512)	0.08355	0.35185	(0.34962, 0.35408)	0.21755	1.0121
chr1	5610	10	1	62	150	last_breed_formation_generation	True	TRUE	0.262	(0.253, 0.271)	0.537	(0.487, 0.587)	0.20573	(0.2032, 0.20826)	0.06447	0.34827	(0.34662, 0.34992)	0.20839	1.60425
chr3	5415	35	1	55	180	last_breed_formation_generation	False	TRUE	0.156	(0.15, 0.161)	0.291	(0.277, 0.304)	0.17223	(0.1706, 0.17386)	0.05205	0.33139	(0.32962, 0.33315)	0.19529	3.7384
chr1	6650	5	2	60	185	last_breed_formation_generation	False	TRUE	0.344	(0.31, 0.378)	0.731	(0.67, 0.792)	0.21878	(0.2074, 0.23015)	0.06142	0.3578	(0.35235, 0.36325)	0.20178	3.34163
chr1	5770	8	1	54	155	last_breed_formation_generation	False	TRUE	0.238	(0.228, 0.248)	0.469	(0.436, 0.503)	0.22439	(0.22103, 0.22774)	0.08461	0.34931	(0.34773, 0.3509)	0.22004	1.14904
chr9	5535	7	1	57	170	last_breed_formation_generation	False	TRUE	0.254	(0.241, 0.266)	0.464	(0.434, 0.495)	0.22716	(0.22304, 0.23128)	0.08936	0.35106	(0.34814, 0.35397)	0.2209	1.34144
chr1	6375	5	1	65	190	last_breed_formation_generation	False	TRUE	0.267	(0.258, 0.277)	0.559	(0.511, 0.607)	0.24428	(0.24061, 0.24795)	0.09147	0.35583	(0.35239, 0.35928)	0.21874	0.82712
chr28	6380	5	2	62	195	last_breed_formation_generation	False	TRUE	0.312	(0.285, 0.34)	0.596	(0.526, 0.665)	0.23336	(0.22308, 0.24364)	0.08291	0.36396	(0.35924, 0.36869)	0.22701	2.15382
chr1	6435	5	15	66	650	last_breed_formation_generation	False	TRUE	0.8	(0.763, 0.836)	1	(1.00, 1.00)	0.0653	(0.05353, 0.07708)	0	0.36161	(0.34966, 0.37356)	0.1585	13.66514
chr1	6555	5	1	60	190	last_breed_formation_generation	False	TRUE	0.273	(0.264, 0.282)	0.55	(0.516, 0.584)	0.24472	(0.24141, 0.24804)	0.09146	0.35967	(0.35665, 0.36268)	0.22601	0.84327
chr1	6520	5	7	65	190	last_breed_formation_generation	False	TRUE	0.61	(0.563, 0.657)	0.991	(0.98, 1.002)	0.12922	(0.1137, 0.14474)	0.00075	0.35801	(0.34808, 0.36793)	0.1496	9.67955
chr1	6590	26	1	69	185	last_breed_formation_generation	False	TRUE	0.187	(0.179, 0.194)	0.392	(0.359, 0.426)	0.17563	(0.17391, 0.17735)	0.05483	0.34004	(0.33843, 0.34166)	0.20489	2.97453
chr1	6665	30	1	63	165	last_breed_formation_generation	False	TRUE	0.19	(0.182, 0.198)	0.379	(0.352, 0.406)	0.17093	(0.16901, 0.17286)	0.05331	0.33961	(0.33774, 0.34147)	0.20328	3.06577
