CHR,POS1,POS2,PHENE,PHENE_CATEGORY,SINGLE_GENE_TRAIT_OR_DISORDER,DISEASE_RELATED,GENE_SYMBOL,GENE_DESCRIPTION,PHENE_URL,GENE_DETAILS_URL,BREEDS
,,,Overweight (redundant),,unknown,unknown,,,https://www.omia.org/OMIA001599/9685/,,
,,,"Hernia, peritoneopericardial",Muscle phene,unknown,yes,,,https://www.omia.org/OMIA001301/9685/,,VBO_0100188
,,,Urticaria pigmentosa,Integument (skin) phene,unknown,yes,,,https://www.omia.org/OMIA001289/9685/,,VBO_0100230
,,,Imperforate anus with rectovaginal fistula,Digestive / alimentary phene,unknown,yes,,,https://www.omia.org/OMIA000559/9685/,,
,,,Rectovaginal fistula (redundant),,unknown,unknown,,,https://www.omia.org/OMIA000851/9685/,,
,,,"Retinitis pigmentosa, peripherin-related",Vision / eye phene,unknown,yes,,,https://www.omia.org/OMIA000871/9685/,,
,,,Persistent urachus (redundant),,unknown,unknown,,,https://www.omia.org/OMIA000796/9685/,,
,,,Primary seborrhea-oleosa,Integument (skin) phene,unknown,yes,,,https://www.omia.org/OMIA000822/9685/,,VBO_0100188
,,,"Axonopathy, distal",Nervous system phene,unknown,yes,,,https://www.omia.org/OMIA000098/9685/,,VBO_0100042
,,,"Axonopathy, peripheral",Nervous system phene,unknown,yes,,,https://www.omia.org/OMIA000099/9685/,,VBO_0100042
,,,Catnip response,Taste / olfaction phene,yes,no,,,https://www.omia.org/OMIA000169/9685/,,
E1,41313492,41329214,Hypokalaemic periodic paralysis,Muscle phene,yes,yes,WNK4,WNK lysine deficient protein kinase 4,https://www.omia.org/OMIA001759/9685/,https://www.omia.org/gene389728003/,VBO_0100053
,,,Corneal sequestra,Vision / eye phene,unknown,yes,,,https://www.omia.org/OMIA002574/9685/,,"VBO_0100117, VBO_0100188"
,,,"Deafness, generic",Hearing / vestibular / ear phene,unknown,yes,,,https://www.omia.org/OMIA000259/9685/,,
A1,142779850,142609752,Mucopolysaccharidosis VI,Lysosomal storage disease,yes,yes,ARSB,arylsulfatase B,https://www.omia.org/OMIA000666/9685/,https://www.omia.org/gene39690324/,VBO_0100221
,,,Hyperthyroidism,Endocrine / exocrine gland phene (incl mammary gland),unknown,yes,,,https://www.omia.org/OMIA000511/9685/,,
A3,139607018,139559349,"Hypothyroidism, congenital",Endocrine / exocrine gland phene (incl mammary gland),yes,yes,TPO,thyroid peroxidase,https://www.omia.org/OMIA000536/9685/,https://www.omia.org/gene200685821/,"VBO_0100052, VBO_0100200"
X,122897910,122996163,Myotubular myopathy 1,Muscle phene,yes,yes,MTM1,myotubularin 1,https://www.omia.org/OMIA001508/9685/,https://www.omia.org/gene389723396/,
,,,Cerebellar degeneration,Nervous system phene,yes,yes,,,https://www.omia.org/OMIA001221/9685/,,
,,,"Factors IX and XII, combined deficiency of",Haematopoietic system phene,unknown,yes,,,https://www.omia.org/OMIA001526/9685/,,
D3,53088837,53132546,"Hair shaft dysplasia, DSG4-related",Integument (skin) phene,yes,yes,DSG4,desmoglein 4,https://www.omia.org/OMIA002452/9685/,https://www.omia.org/gene389717553/,
D2,12929413,13129725,Chediak-Higashi syndrome,Haematopoietic system phene,yes,yes,LYST,lysosomal trafficking regulator,https://www.omia.org/OMIA000185/9685/,https://www.omia.org/gene389714547/,VBO_0100188
F1,14760878,14768459,Autoimmune lymphoproliferative syndrome,Immune system phene,yes,yes,FASLG,"Fas ligand (TNF superfamily, member 6)",https://www.omia.org/OMIA002064/9685/,https://www.omia.org/gene388257476/,VBO_0100052
,,,Osteochondrodysplasia,Skeleton phene (incl. short stature & teeth),yes,yes,,,https://www.omia.org/OMIA001315/9685/,,VBO_0100209
E1,2907655,2902287,"Tail, short and kinked (Japanese bobtail)",Limbs / fins / digit / tail phene,yes,yes,HES7,hes family bHLH transcription factor 7,https://www.omia.org/OMIA001987/9685/,https://www.omia.org/gene389713779/,VBO_0100128
,,,Mitral valve dysplasia,Cardiovascular system phene,unknown,yes,,,https://www.omia.org/OMIA002521/9685/,,VBO_0100230
,,,Von Willebrand disease III,Haematopoietic system phene,yes,yes,,,https://www.omia.org/OMIA001058/9685/,,
,,,"Von Willebrand disease, generic",Haematopoietic system phene,yes,yes,,,https://www.omia.org/OMIA001056/9685/,,
B1,69048217,69016132,Multiple acyl-CoA dehydrogenase deficiency,Homeostasis / metabolism phene,yes,yes,ETFDH,electron-transferring-flavoprotein dehydrogenase,https://www.omia.org/OMIA001457/9685/,https://www.omia.org/gene389717397/,
,,,Spinal muscular atrophy,Nervous system phene,unknown,yes,,,https://www.omia.org/OMIA000939/9685/,,
B1,172141747,172173863,"Chondrodysplasia, UGDH-related",Skeleton phene (incl. short stature & teeth),yes,yes,UGDH,UDP-glucose 6-dehydrogenase,https://www.omia.org/OMIA002541/9685/,https://www.omia.org/gene389715737/,VBO_0100169
,,,Atopy,Integument (skin) phene,unknown,yes,,,https://www.omia.org/OMIA000082/9685/,,
D1,71198736,71030684,"Vitamin D-deficiency rickets, type IB",Homeostasis / metabolism phene,yes,yes,CYP2R1,cytochrome P450 family 2 subfamily R member 1,https://www.omia.org/OMIA002221/9685/,https://www.omia.org/gene389752082/,
D1,98361436,98396751,"Osteogenesis imperfecta, CREB3L1-elated",Skeleton phene (incl. short stature & teeth),yes,yes,CREB3L1,cAMP responsive element binding protein 3-like 1,https://www.omia.org/OMIA002533/9685/,https://www.omia.org/gene389718580/,
A1,139009018,139055740,"Gangliosidosis, GM2, type II (Sandhoff or variant 0)",Lysosomal storage disease,yes,yes,HEXB,hexosaminidase B (beta polypeptide),https://www.omia.org/OMIA001462/9685/,https://www.omia.org/gene493928/,"VBO_0100053, VBO_0100143"
A2,8965933,8950052,"Mannosidosis, alpha",Lysosomal storage disease,yes,yes,MAN2B1,"mannosidase, alpha, class 2B, member 1",https://www.omia.org/OMIA000625/9685/,https://www.omia.org/gene493697/,VBO_0100188
,,,Dysplastic gangliocytoma of the cerebellum,Neoplasm,unknown,yes,,,https://www.omia.org/OMIA002529/9685/,,
D1,74280965,74220513,"Coat colour, albinism, oculocutaneous, HPS5-related",Pigmentation phene,yes,yes,HPS5,Hermansky-Pudlak syndrome 5,https://www.omia.org/OMIA002116/9685/,https://www.omia.org/gene389727644/,VBO_0100086
,,,Anal gland disease,Endocrine / exocrine gland phene (incl mammary gland),no,yes,,,https://www.omia.org/OMIA002523/9685/,,
,,,Priapism,Reproductive system phene,unknown,yes,,,https://www.omia.org/OMIA001166/9685/,,
,,,Cardiomyopathy,Cardiovascular system phene,unknown,yes,,,https://www.omia.org/OMIA000160/9685/,,
,,,Alloimmune haemolytic anaemia of the newborn,Haematopoietic system phene,unknown,yes,,,https://www.omia.org/OMIA000028/9685/,,
,,,Blood group system Mik,Haematopoietic system phene,unknown,no,,,https://www.omia.org/OMIA001430/9685/,,
,,,"Blood group systems, generic",Haematopoietic system phene,unknown,no,,,https://www.omia.org/OMIA000116/9685/,,
,,,"Cardiomyopathy, dilated",Cardiovascular system phene,unknown,yes,,,https://www.omia.org/OMIA000162/9685/,,
D1,108455293,108438015,"Skeletal dysplasia, LTBP3-related",Skeleton phene (incl. short stature & teeth),yes,yes,LTBP3,latent transforming growth factor beta binding protein 3,https://www.omia.org/OMIA002485/9685/,https://www.omia.org/gene389726389/,VBO_0100052
,,,"Pancreatic insufficiency, exocrine",Endocrine / exocrine gland phene (incl mammary gland),unknown,yes,,,https://www.omia.org/OMIA000765/9685/,,
B1,40428737,40431634,"Coat colour, ticked (Abyssinian)",Pigmentation phene,yes,no,DKK4,dickkopf WNT signaling pathway inhibitor 4,https://www.omia.org/OMIA001484/9685/,https://www.omia.org/gene389727502/,"VBO_0100000, VBO_0100053, VBO_0100184, VBO_0100224"
B4,82296879,82301544,"Retinopathy, RDH5-related",Vision / eye phene,yes,yes,RDH5,retinol dehydrogenase 5 (11-cis/9-cis),https://www.omia.org/OMIA002469/9685/,https://www.omia.org/gene389720973/,
,,,Atherosclerosis,Cardiovascular system phene,unknown,yes,,,https://www.omia.org/OMIA000080/9685/,,VBO_0100143
,,,"Lymphoma, generic",Neoplasm,unknown,yes,,,https://www.omia.org/OMIA001733/9685/,,
,,,Olivopontocerebellar degeneration,Nervous system phene,unknown,yes,,,https://www.omia.org/OMIA002454/9685/,,
,,,Transitional lumbosacral vertebrae,Skeleton phene (incl. short stature & teeth),unknown,yes,,,https://www.omia.org/OMIA001014/9685/,,
F2,83036935,83032143,Acrodermatitis enteropathica,Integument (skin) phene,yes,yes,SLC39A4,"solute carrier family 39 (zinc transporter), member 4",https://www.omia.org/OMIA000593/9685/,https://www.omia.org/gene389714030/,VBO_0100250
,,,Behaviour,Behaviour / neurological phene,unknown,unknown,,,https://www.omia.org/OMIA002328/9685/,,
,,,"Alzheimer-like disease, generic",Nervous system phene,unknown,yes,,,https://www.omia.org/OMIA000033/9685/,,
B4,83383919,83376824,"Hypogonadotropic hypogonadism, TAC3-related",Reproductive system phene,yes,yes,TAC3,tachykinin 3,https://www.omia.org/OMIA002219/9685/,https://www.omia.org/gene389720205/,
D2,81256735,81221516,"Porphyria, congenital erythropoietic",Integument (skin) phene,yes,yes,UROS,uroporphyrinogen III synthase,https://www.omia.org/OMIA001175/9685/,https://www.omia.org/gene4476682/,
,,,Corneal dermoid,Vision / eye phene,unknown,yes,,,https://www.omia.org/OMIA000229/9685/,,
,,,Renal dysplasia,Renal / urinary system phene,unknown,yes,,,https://www.omia.org/OMIA001135/9685/,,
,,,"Agenesis, renal",Renal / urinary system phene,unknown,yes,,,https://www.omia.org/OMIA002007/9685/,,
,,,Glomerulonephritis,Renal / urinary system phene,unknown,yes,,,https://www.omia.org/OMIA000413/9685/,,
D4,58926318,58938173,"Hyperoxaluria, primary, type II (Oxalosis II)",Renal / urinary system phene,yes,yes,GRHPR,glyoxylate reductase/hydroxypyruvate reductase,https://www.omia.org/OMIA000821/9685/,https://www.omia.org/gene39711566/,"VBO_0100053, VBO_0100117, VBO_0100188"
,,,Nephrolithiasis,Renal / urinary system phene,unknown,yes,,,https://www.omia.org/OMIA000709/9685/,,
,,,Nephrotic syndrome,Renal / urinary system phene,unknown,yes,,,https://www.omia.org/OMIA000712/9685/,,VBO_0100000
,,,Urolithiasis,Renal / urinary system phene,unknown,yes,,,https://www.omia.org/OMIA001033/9685/,,
B3,37173741,37207743,"Neuronal ceroid lipofuscinosis, 6",Lysosomal storage disease,yes,yes,CLN6,"ceroid-lipofuscinosis, neuronal 6, late infantile, variant",https://www.omia.org/OMIA001443/9685/,https://www.omia.org/gene389727796/,
,,,Elbow luxation,Skeleton phene (incl. short stature & teeth),unknown,yes,,,https://www.omia.org/OMIA000331/9685/,,
,,,Vitiligo,Integument (skin) phene,unknown,yes,,,https://www.omia.org/OMIA001055/9685/,,
,,,"Dyskinesia, paroxysmal",Behaviour / neurological phene,unknown,yes,,,https://www.omia.org/OMIA001543/9685/,,VBO_0100230
A3,124737756,124732610,"Forebrain commissural malformation, ventriculomegaly and interhemispheric cysts, GDF7-related",Nervous system phene,yes,yes,GDF7,growth differentiation factor 7,https://www.omia.org/OMIA002366/9685/,https://www.omia.org/gene389754166/,VBO_0100245
,,,Hydrocephalus,Nervous system phene,unknown,yes,,,https://www.omia.org/OMIA000487/9685/,,
B1,35875523,35891321,"Hypotrichosis, HR-related",Integument (skin) phene,yes,yes,HR,NCBI Gene ID: 101090097,https://www.omia.org/OMIA002229/9685/,https://www.omia.org/gene398298751/,
E1,932811,970531,Leber congenital amaurosis,Vision / eye phene,yes,yes,AIPL1,aryl hydrocarbon receptor interacting protein-like 1,https://www.omia.org/OMIA001222/9685/,https://www.omia.org/gene389719983/,
,,,"XX sex reversal, SRY-related",Reproductive system phene,unknown,yes,,,https://www.omia.org/OMIA002047/9685/,,
,,,"Muscular dystrophy, limb-girdle, type R4 (LGMDR4)",Muscle phene,unknown,yes,,,https://www.omia.org/OMIA001620/9685/,,
F1,64402123,64392769,"Cerebral dysgenesis, PEA15 related",Nervous system phene,yes,yes,PEA15,phosphoprotein enriched in astrocytes 15,https://www.omia.org/OMIA002303/9685/,https://www.omia.org/gene389725101/,
,,,"Amyloidosis, generic",Homeostasis / metabolism phene,unknown,yes,,,https://www.omia.org/OMIA000037/9685/,,
E1,42495858,42481491,Thrombasthenia,Haematopoietic system phene,yes,yes,ITGA2B,"integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)",https://www.omia.org/OMIA001000/9685/,https://www.omia.org/gene389728441/,
,,,"Coat colour, pink-eyed dilution",Pigmentation phene,unknown,no,,,https://www.omia.org/OMIA000212/9685/,,
,,,"Coat colour, white",Pigmentation phene,unknown,no,,,https://www.omia.org/OMIA000213/9685/,,
,,,Curl,Hearing / vestibular / ear phene,yes,no,,,https://www.omia.org/OMIA000244/9685/,,
,,,Eye colour,Pigmentation phene,unknown,no,,,https://www.omia.org/OMIA000357/9685/,,
E1,40388843,40384168,"Epidermolysis bullosa, simplex, KRT14-related",Integument (skin) phene,yes,yes,KRT14,"keratin 14, type I",https://www.omia.org/OMIA002281/9685/,https://www.omia.org/gene389721303/,
F2,49982054,49900798,Dihydropyrimidinase deficiency,Homeostasis / metabolism phene,yes,yes,DPYS,dihydropyrimidinase,https://www.omia.org/OMIA001776/9685/,https://www.omia.org/gene389717086/,
D1,63260124,63264778,"Niemann-Pick disease, type A",Lysosomal storage disease,yes,yes,SMPD1,"sphingomyelin phosphodiesterase 1, acid lysosomal",https://www.omia.org/OMIA001795/9685/,https://www.omia.org/gene389727464/,VBO_0100221
,,,"Retinal atrophy, progressive, generic",Vision / eye phene,unknown,yes,,,https://www.omia.org/OMIA000830/9685/,,
B1,96530858,96681414,"Neuronal ceroid lipofuscinosis, 7",Lysosomal storage disease,yes,yes,MFSD8,major facilitator superfamily domain containing 8,https://www.omia.org/OMIA001962/9685/,https://www.omia.org/gene389716554/,
,,,"Histiocytosis, malignant",Neoplasm,unknown,yes,,,https://www.omia.org/OMIA000620/9685/,,
,,,Myoclonus epilepsy of Lafora,Behaviour / neurological phene,unknown,yes,,,https://www.omia.org/OMIA000690/9685/,,
,,,Ocular squamous cell carcinoma,Neoplasm,unknown,yes,,,https://www.omia.org/OMIA000735/9685/,,
B4,122197393,122123684,Mucolipidosis II,Lysosomal storage disease,yes,yes,GNPTAB,"N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits",https://www.omia.org/OMIA001248/9685/,https://www.omia.org/gene389727979/,
,,,"Ehlers-Danlos syndrome, generic",Integument (skin) phene,yes,yes,,,https://www.omia.org/OMIA000327/9685/,,
,,,Cerebral amyloid angiopathy,Cardiovascular system phene,unknown,yes,,,https://www.omia.org/OMIA002138/9685/,,
,,,Goldenhar syndrome,Craniofacial phene,unknown,yes,,,https://www.omia.org/OMIA002136/9685/,,
,,,"XX difference of sexual development, generic",Reproductive system phene,unknown,yes,,,https://www.omia.org/OMIA000901/9685/,,
,,,Pneumothorax,Respiratory system phene,unknown,yes,,,https://www.omia.org/OMIA000804/9685/,,
C2,1755806,1781525,"Leukocyte adhesion deficiency, type I",Immune system phene,yes,yes,ITGB2,"integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)",https://www.omia.org/OMIA000595/9685/,https://www.omia.org/gene389718692/,
,,,Digital flexor musculotendinous contracture,Limbs / fins / digit / tail phene,unknown,yes,,,https://www.omia.org/OMIA002098/9685/,,
,,,"Ataxia, cerebellar, generic",Nervous system phene,unknown,yes,,,https://www.omia.org/OMIA002091/9685/,,
B1,132373756,132504308,"Retinal degeneration, fluoroquinolone-induced",Vision / eye phene,unknown,yes,ABCG2,"ATP-binding cassette, sub-family G (WHITE), member 2 (Junior blood group)",https://www.omia.org/OMIA001707/9685/,https://www.omia.org/gene302256845/,
,,,Guillain-Barr-like polyradiculoneuropathy,Nervous system phene,unknown,yes,,,https://www.omia.org/OMIA002062/9685/,,
,,,"Lymphoma, non-Hodgkin",Neoplasm,unknown,yes,,,https://www.omia.org/OMIA001708/9685/,,
,,,Alkaptonuria,Renal / urinary system phene,unknown,yes,,,https://www.omia.org/OMIA001243/9685/,,
,,,Hepatic encephalopathy,Nervous system phene,unknown,yes,,,https://www.omia.org/OMIA000453/9685/,,
E3,15998917,16012394,Mucopolysaccharidosis VII,Lysosomal storage disease,yes,yes,GUSB,"glucuronidase, beta",https://www.omia.org/OMIA000667/9685/,https://www.omia.org/gene493879/,
D1,16576086,16583945,"Porphyria, acute intermittent",Homeostasis / metabolism phene,yes,yes,HMBS,hydroxymethylbilane synthase,https://www.omia.org/OMIA001493/9685/,https://www.omia.org/gene4206774/,VBO_0100221
,,,Diabetes mellitus,Endocrine / exocrine gland phene (incl mammary gland),unknown,yes,,,https://www.omia.org/OMIA000279/9685/,,
,,,"Hypotrichosis, Don Sphynx",Integument (skin) phene,yes,yes,,,https://www.omia.org/OMIA001866/9685/,,VBO_0100085
,,,"Epidermolysis bullosa, junctionalis",Integument (skin) phene,unknown,yes,,,https://www.omia.org/OMIA000342/9685/,,
,,,"Neuronal Ceroid Lipofuscinosis, generic",Lysosomal storage disease,unknown,yes,,,https://www.omia.org/OMIA000181/9685/,,
,,,Osteochondrosis,Skeleton phene (incl. short stature & teeth),unknown,yes,,,https://www.omia.org/OMIA000750/9685/,,
,,,Haemangiosarcoma,Neoplasm,unknown,yes,,,https://www.omia.org/OMIA001813/9685/,,
,,,Alopecia areata,Integument (skin) phene,unknown,yes,,,https://www.omia.org/OMIA001702/9685/,,
,,,Endocardial fibroelastosis,Cardiovascular system phene,unknown,yes,,,https://www.omia.org/OMIA001803/9685/,,
,,,"Intestinal cobalamin (vitamin B12) malabsorption, generic",Homeostasis / metabolism phene,unknown,yes,,,https://www.omia.org/OMIA001791/9685/,,
,,,Gyrate atrophy of choroid and retina,Vision / eye phene,unknown,yes,,,https://www.omia.org/OMIA001774/9685/,,
,,,"Retinal dystrophy, early onset, Bengal",Vision / eye phene,yes,yes,,,https://www.omia.org/OMIA001613/9685/,,VBO_0100040
,,,Choanal atresia,Respiratory system phene,unknown,yes,,,https://www.omia.org/OMIA001764/9685/,,
-,-,-,"Sweet taste, lack of",Taste / olfaction phene,yes,yes,TAS1R2,"taste receptor, type 1, member 2 pseudogene",https://www.omia.org/OMIA001617/9685/,https://www.omia.org/gene40067194/,
C1,215108670,215112456,Deficient acetaminophen glucuronidation,Homeostasis / metabolism phene,yes,yes,UGT1A6,UDP-glucuronosyltransferase 1A6,https://www.omia.org/OMIA001586/9685/,https://www.omia.org/gene83148755/,
B1,204948412,204933314,Mucopolysaccharidosis I,Lysosomal storage disease,yes,yes,IDUA,"iduronidase, alpha-L-",https://www.omia.org/OMIA000664/9685/,https://www.omia.org/gene199226049/,
,,,"Hemifacial microsomia, type III",Craniofacial phene,unknown,yes,,,https://www.omia.org/OMIA001690/9685/,,
,,,"Cardiomyopathy, arrhythmogenic right ventricular",Cardiovascular system phene,unknown,yes,,,https://www.omia.org/OMIA000878/9685/,,
,,,Hypophosphataemia,Homeostasis / metabolism phene,unknown,yes,,,https://www.omia.org/OMIA001184/9685/,,
,,,Inflammatory bowel disease,Digestive / alimentary phene,unknown,yes,,,https://www.omia.org/OMIA001687/9685/,,
,,,"Hyperadrenocorticism, generic",Endocrine / exocrine gland phene (incl mammary gland),unknown,yes,,,https://www.omia.org/OMIA000494/9685/,,
,,,Ventricular septal defect,Cardiovascular system phene,unknown,yes,,,https://www.omia.org/OMIA001041/9685/,,
,,,Coloboma,Vision / eye phene,unknown,yes,,,https://www.omia.org/OMIA000219/9685/,,
,,,"Agenesis, urogenital, unilateral",Renal / urinary system phene,unknown,yes,,,https://www.omia.org/OMIA001030/9685/,,
,,,Dermoid sinus,Integument (skin) phene,unknown,yes,,,https://www.omia.org/OMIA000272/9685/,,
,,,Olivopontocerebellar atrophy,Nervous system phene,unknown,yes,,,https://www.omia.org/OMIA000740/9685/,,
,,,Omphalocele,Growth / size / body region phene,unknown,yes,,,https://www.omia.org/OMIA000741/9685/,,
,,,Orchitis,Reproductive system phene,unknown,yes,,,https://www.omia.org/OMIA000745/9685/,,
,,,Persistent truncus arteriosus,Cardiovascular system phene,unknown,yes,,,https://www.omia.org/OMIA000795/9685/,,
,,,Syringomyelia,Nervous system phene,unknown,yes,,,https://www.omia.org/OMIA000965/9685/,,
,,,Entropion,Vision / eye phene,unknown,yes,,,https://www.omia.org/OMIA000337/9685/,,
,,,Lens luxation,Vision / eye phene,yes,yes,,,https://www.omia.org/OMIA000588/9685/,,
,,,"Eyelid gland, third, prolapse of",Vision / eye phene,unknown,yes,,,https://www.omia.org/OMIA000359/9685/,,
,,,Cyclopia,Vision / eye phene,unknown,yes,,,https://www.omia.org/OMIA000249/9685/,,
,,,Cystic liver,Liver/biliary system phene,unknown,yes,,,https://www.omia.org/OMIA000252/9685/,,
,,,Dicephalus,Embryo phene,unknown,yes,,,https://www.omia.org/OMIA000287/9685/,,
,,,Ectrodactyly,Limbs / fins / digit / tail phene,unknown,yes,,,https://www.omia.org/OMIA000324/9685/,,
,,,Autoimmune thrombocytopenia,Haematopoietic system phene,unknown,yes,,,https://www.omia.org/OMIA000095/9685/,,
,,,Aorticopulmonary septal defect,Cardiovascular system phene,unknown,yes,,,https://www.omia.org/OMIA000053/9685/,,
,,,"Muscular dystrophy, congenital merosin-deficient",Muscle phene,yes,yes,,,https://www.omia.org/OMIA001619/9685/,,"VBO_0100084, VBO_0100154, VBO_0100230"
,,,Agenesis of corpus callosum,Nervous system phene,unknown,yes,,,https://www.omia.org/OMIA000021/9685/,,
,,,Anodontia,Skeleton phene (incl. short stature & teeth),unknown,yes,,,https://www.omia.org/OMIA000048/9685/,,
,,,"Ears, four",Hearing / vestibular / ear phene,yes,yes,,,https://www.omia.org/OMIA000320/9685/,,
,,,"Glaucoma, generic",Vision / eye phene,unknown,yes,,,https://www.omia.org/OMIA000411/9685/,,
,,,"Vitamin D-deficiency rickets, non-type I, non-type II",Skeleton phene (incl. short stature & teeth),unknown,yes,,,https://www.omia.org/OMIA001614/9685/,,VBO_0100077
,,,Retinal detachment,Vision / eye phene,unknown,yes,,,https://www.omia.org/OMIA000275/9685/,,
,,,Neuroaxonal dystrophy with cerebellar abiotrophy,Nervous system phene,unknown,yes,,,https://www.omia.org/OMIA001606/9685/,,
,,,"Hypothyroidism, primary",Endocrine / exocrine gland phene (incl mammary gland),yes,yes,,,https://www.omia.org/OMIA000538/9685/,,
,,,"Coat colour, generic",Pigmentation phene,unknown,no,,,https://www.omia.org/OMIA000200/9685/,,
,,,Androgen insensitivity syndrome (AIS),Reproductive system phene,yes,yes,,,https://www.omia.org/OMIA000991/9685/,,
,,,"Coat colour, melanin inhibitor",Pigmentation phene,yes,no,,,https://www.omia.org/OMIA001584/9685/,,
,,,Curly coat,Integument (skin) phene,yes,no,,,https://www.omia.org/OMIA000245/9685/,,
,,,"Curly coat, Oregon rex",Integument (skin) phene,yes,no,,,https://www.omia.org/OMIA001582/9685/,,
,,,Narcolepsy,Behaviour / neurological phene,unknown,yes,,,https://www.omia.org/OMIA000703/9685/,,
,,,"Collagenosis, reactive perforating",Integument (skin) phene,unknown,yes,,,https://www.omia.org/OMIA001476/9685/,,
,,,"Coat colour, silver",Pigmentation phene,yes,no,,,https://www.omia.org/OMIA001438/9685/,,
,,,"Gangliosidosis, GM2, generic",Lysosomal storage disease,yes,yes,,,https://www.omia.org/OMIA000403/9685/,,
,,,Chylothorax,Respiratory system phene,unknown,yes,,,https://www.omia.org/OMIA001422/9685/,,
,,,"Pulmonary fibrosis, idiopathic",Respiratory system phene,unknown,yes,,,https://www.omia.org/OMIA001417/9685/,,
,,,"Hernia, perineal",Growth / size / body region phene,unknown,yes,,,https://www.omia.org/OMIA001103/9685/,,
,,,"Achalasia of the oesophagus, congenital",Digestive / alimentary phene,unknown,yes,,,https://www.omia.org/OMIA000003/9685/,,
,,,"Alopecia, generic",Integument (skin) phene,unknown,yes,,,https://www.omia.org/OMIA000030/9685/,,
,,,"Amyloidosis, AL",Homeostasis / metabolism phene,unknown,yes,,,https://www.omia.org/OMIA000039/9685/,,
,,,"Amyloidosis, renal",Renal / urinary system phene,unknown,yes,,,https://www.omia.org/OMIA000040/9685/,,
,,,"Ankylosis, generalised",Skeleton phene (incl. short stature & teeth),unknown,yes,,,https://www.omia.org/OMIA000047/9685/,,
,,,Arthritis,Skeleton phene (incl. short stature & teeth),unknown,yes,,,https://www.omia.org/OMIA000064/9685/,,
,,,"Ataxia, generic",Nervous system phene,unknown,yes,,,https://www.omia.org/OMIA000077/9685/,,
,,,Atresia ani,Digestive / alimentary phene,unknown,yes,,,https://www.omia.org/OMIA000083/9685/,,
,,,Atresia coli,Digestive / alimentary phene,unknown,yes,,,https://www.omia.org/OMIA000085/9685/,,
,,,Atrial septal defect,Cardiovascular system phene,unknown,yes,,,https://www.omia.org/OMIA000089/9685/,,
,,,"Autoimmune thyroiditis, spontaneous",Endocrine / exocrine gland phene (incl mammary gland),unknown,yes,,,https://www.omia.org/OMIA000097/9685/,,
,,,Bleeding disorder,Haematopoietic system phene,unknown,yes,,,https://www.omia.org/OMIA000113/9685/,,
,,,Brachycephalic obstructive airway syndrome,Respiratory system phene,unknown,yes,,,https://www.omia.org/OMIA000145/9685/,,
,,,Budd-chiari syndrome,Cardiovascular system phene,unknown,yes,,,https://www.omia.org/OMIA001203/9685/,,
,,,Cardiac anomaly,Cardiovascular system phene,unknown,yes,,,https://www.omia.org/OMIA000159/9685/,,
,,,Cerebellar abiotrophy,Nervous system phene,unknown,yes,,,https://www.omia.org/OMIA000175/9685/,,
,,,Cerebellar cortical atrophy,Nervous system phene,unknown,yes,,,https://www.omia.org/OMIA000177/9685/,,
,,,Cerebellar hypoplasia,Nervous system phene,unknown,yes,,,https://www.omia.org/OMIA000179/9685/,,
,,,"Ciliary dyskinesia, primary, generic",Respiratory system phene,unknown,yes,,,https://www.omia.org/OMIA000573/9685/,,
,,,Cleft palate,Digestive / alimentary phene,unknown,yes,,,https://www.omia.org/OMIA000197/9685/,,
,,,Contact activation defect,Haematopoietic system phene,unknown,yes,,,https://www.omia.org/OMIA000225/9685/,,
,,,Corneal dystrophy,Vision / eye phene,unknown,yes,,,https://www.omia.org/OMIA000230/9685/,,
,,,Coxofemoral luxation,Skeleton phene (incl. short stature & teeth),unknown,yes,,,https://www.omia.org/OMIA000234/9685/,,
,,,"Cushing disease, pituitary-dependent hyperadrenocorticism",Endocrine / exocrine gland phene (incl mammary gland),unknown,yes,,,https://www.omia.org/OMIA000247/9685/,,
,,,Dandy-Walker syndrome,Nervous system phene,unknown,yes,,,https://www.omia.org/OMIA000258/9685/,,
,,,"Dermoid, nasal, congenital",Integument (skin) phene,unknown,yes,,,https://www.omia.org/OMIA000273/9685/,,
,,,"Dermoid, ocular",Vision / eye phene,unknown,yes,,,https://www.omia.org/OMIA000274/9685/,,
,,,Diabetes,Endocrine / exocrine gland phene (incl mammary gland),unknown,yes,,,https://www.omia.org/OMIA000277/9685/,,
,,,Diabetes insipidus,Endocrine / exocrine gland phene (incl mammary gland),unknown,yes,,,https://www.omia.org/OMIA000278/9685/,,
,,,"Diabetes mellitus, hyperosmolar nonketotic",Endocrine / exocrine gland phene (incl mammary gland),unknown,yes,,,https://www.omia.org/OMIA000280/9685/,,
,,,"Diabetes mellitus, type 1",Endocrine / exocrine gland phene (incl mammary gland),unknown,yes,,,https://www.omia.org/OMIA000283/9685/,,
,,,"Difference of sexual development, generic",Reproductive system phene,unknown,yes,,,https://www.omia.org/OMIA000564/9685/,,
,,,Diprosopus,Embryo phene,unknown,yes,,,https://www.omia.org/OMIA000290/9685/,,
,,,"Dwarfism, generic",Skeleton phene (incl. short stature & teeth),unknown,yes,,,https://www.omia.org/OMIA000299/9685/,,
